Review,predicted_labels
I have attempted to reach support. Have not heard back in days about my account being suspended from purchasing coins off their website. Very disappointing customer service.,2
Good work tiktok but Also Creativity program we can manage with our business account beacuse only personal account have it yet,2
Why i can't watch a video without signing up on your stupid platform? Collecting data - personal info? Im gonee UNINSTALLED!!!,2
They haven't fixed the bug of receiving strikes on your account without actually doing something bad and because of this the amount of people that see my content is lowered. Awful moderators. FIX THE RANDOM STRIKES!!!!,2
Hi my name is haroon my tik tok account name is its-Haroon-Mughal and like following,2
"Downloaded it after months and months of having used it. Realized somehow someone was using it without me knowing. I tried to delete my name and account when i realized the was a weird pattern person was following accounts that seemed fake or sketchy or of weirdos posing as younger ppl, girls, and kids.. so creepy",4
"Since you want to keep asking for a review, here ya go: your monetization standards are ambiguous and lofty unless a creator's audience was built on a different, unrelated platform. Your community guidelines are inconsistently applied. And I do not trust that my personal data isn't being stored outside of the country I reside in, so me connecting with nearby users comes with a level of caution that makes me contemplating your app at least once a day.",2
I would enjoy this app if it wasn't rigging the algorithm & censorship towards black content creators. I'm about delete my account & app for good,4
I like TikTok buttttttt sadly recently my likes haven't been saving on my account 😭😭😭 I save TikToks I like to show to my best friend Matty we get into a call on discord and I show him on my PC by sharing my screen on discord. Recently it just hasn't been updating my liked on PC at all... For context: I scroll on mobile and show on PC to best friend Please fix and I'll bring it to a 4 star To get 5 stars you'd have to fix the content stealing accounts that I see on a daily basis.,2
"Hi dear tiktok team i am new funny content creator of freefire,plz view my account and viral my videos.",2
Their community guidelines are administered in a biased manner. Right wing hate posts are wrapped up in nationalism and allowed whilst anyone who responds to them has their comments removed. Also the shop sells tat and you are bombarded by attempts from odd people who have no knowledge but try to convince you to buy. Very annoying. There is good content but it is spoilt by those using it to sell rubbish and right wing thugs.,1
MY ACCOUNT HAS BEEN FREEZED AND VIEWS ARE NOT COMING I HVE BEEN UPLOADING GOOD content,2
Good app but I can't do a slide show at all or text anybody so really not helpful at all aswell on other accounts my account shows up as suspended however I can access it so I need someone to sort it,2
"So far, this app allows the information we want to see and share. I'm not sure it will always work, but for now, it works well!",4
I like the app but one request can you guys add like sections to the favorites and liked things on your account so you could access things that you liked and stuff better .I'd like to be able to make folders to if possible so like have it presplit into sections and then be able to further arrange them into playlist if needed that would be awesome cause I have so much saved videos and good info there I just need it to be more accessible.that would be great thank you!! Y can you only leave review,4
"Do not use Tiktok as they take your personal data and you are forced to accept this. They have been fined in Europe for this, but are still doing it- maybe as this is UK. There is a reason why government officials are not allowed to use tiktok.",4
"The app practices an unjustified policy of blocking and suppressing opinions, especially against content supporting humanitarian issues and freedom of expression",4
"There is 1GB of app data. MY DATA is being stored and worked on MY Phone instead of in the cloud where it belongs. This data is worked modified and compiled on my interests and interactions on the app. This profile and appdata, if cleared, erases my account, FYP, likes, and favorite lists. If I lose my phone, I lose my data. This is not normal",2
"As per usual - started awesome but now it's just fake scam accounts and the algorithm is screwed beyond belief because you have to go to an account to block it therefore the app thinks you like it and sends more your way. Even when you report violent, child predatory, and fake scam accounts comments and content, you'll see tiktok clearly not discover the context and just allow it all to happen.",4
"I find funny content sometimes on it, but people joke about racism, murders and I was in a argument with someone saying someone killing themselves on tiktok live (inquister) was funny, and when I reported it, my account was suspended, and he had no punishment for saying this humans life was like a ant, tiktok needs to update its report system,",2
"Since today I couldn't access my account, however I deleted the whole app and downloaded it back again... login and no videos are playing. TikTok there's a problem with the app.",2
"They collect certain information about the device you use to access the platform, such as your IP address, user region, mobile carrier, time zone. the model of your device. Ur screen resolution and operating system, app and file names and types. So all the apps and all your file names, all the things you've filed away on your phone, they have access to that. Key stroke patterns or rhythms. Which means that they know every thing you type. Can access ur computer or othr device associated wd ur acc",4
Hollow friend this app is so hared to use are tik tok account because viral my tik tok I'd through engaging content and user 🇨🇳🇵🇰🇨🇳🇦🇺🇦🇪🇦🇿🇧🇧🇧🇲🇵🇰🇵🇱🇵🇭🇲🇷🇲🇸🇵🇷🇸🇭🇸🇬🇺🇲🇺🇸,2
"the app is amazing i can say it but there's a issue that its been a few months and i can't follow anyone, it's like i follow them but when I try to message them it unfollows them, it just unfollows them automatically. I'm not even banned from following nor do i follow so many people, also it won't let me make a new account. I need this to get fixed or im out.",4
Better then FB but really need huuge improvement on keyboard warrior who block your account for reposting same video from tik tok under the violations of tiktok policy reasons Often seems that depends on someone's moods and personal views then a standard clearly policy,2
Hello dear TikTok.. Very very important please I need your help because your account has mistakenly put my account in th.frezer list please check my account currectly and remove my account from the freezer list because I am not mad my mistake that is againsts TikTok police but still my account has been frozen in my views have decreased alot and I am also working hard on TikTok now to mak very good videos content but still my views are much lower than befor yes but if my account is added tofreez,2
Trash app. Do you want freedom of speech? Not on tiktok. Do you want valid verified information. Definitely won't find that on tiktok. Absolute trash service overall.,2
"Made an account and was banned within 48 hours. I'm new to TikTok and finally decided to make an account after seeing so many fun videos on TikTok. I followed one person, watched at most 10 videos, and changed my profile picture to a wall outlet. That was enough to apparently get me banned for ""violating integrity and authentication"". Reached out to support and they were absolutely no help at all. Just told me my ban was permanent without any explanation. Frustrating and disappointing service.",2
There was a problem coming when I I following the account the following was increased and when reload it it decreases,4
Dear tiktok team my account. is frozen due to uploading mixed content plz unfreeze my account and i am making videos on tiktok for last two years but i am not getting any benefit pls once Be sure to visit the account. Thank you My account username asfan_jani,2
"I really enjoy this app,keep it up, but I want u do me a favor 🙏 please help me to boost my account by liking my video nd following me",1
I really would want to put it higher because I love this app but there is one problem because it bans random people and deletes their account for no reason like if you're a content creator they could literally just ban for no reason you could lose your job,4
The App recently shows racism against Saudi people. It is big shame that they delete any comment supporting Saudi Arabia. The people who are in charge to operate and supervise the content for Middle East have an obvious hate against any opinion stand with Saudi Arabia. TIK TOK don't loose and ruin your reputation in Saudi because of some haters employees who have their personal views against Saudi Arabia. Egyptian... etc employees in Dubai office are not professional enough.,2
"Got banned from live tiktok all because my cousin was topless in the back, on one of the hottest days of the year. Took so long to build a following over 800 all to be banned on my 1st live show, without no warning or anything. Really gutted as there doesn't seem to be no help from appeal either. Asked to go to appeal in inbox which obviously is the 1st thing any person would do. I was asked through another method of appeal for my username and screen shot of my account, stil banned. Flagged alot",2
I can't access my account all that I did was uninstall the app along with serveral others so I could sort out some memory shortage issues and now that I have reinstalled I'm unable to log into my account it says it is suspended. Why? And for how long?,2
W tiktok my old account I used to put in no work for my content and used to get no views but now I'm putting in effort for my vids and getting tons of views and likes. love this appand also amazing videos to watch when u are bored a real bored killer,4
"This app is an absolute time killer! I love spending time flicking through multiple videos to find a good one. There is so much variety on the app that there is a video for everyone! There is a feature that allows you to like videos and watch them again later, this is extremely useful for crafts or cooking videos.l also really enjoy uploading videos to my channel and shearing my content with others who have the same interest. It is very easy to creat and account and upload videos. For you",4
"I wish the recommendations and suggested users worked better, even after changing to what language I wanted the tiktok recommendations to be in and following users, there is no difference from when I just created my account, the recommendations won't tailor after your preference...",4
Dear Tik Tok Team I Belong To Pakistan Police department.And My Videos and my Content is related force.Weapon Used For Security purposes Please Remove My Account Warning,1
"Subject: Appeal Against Unjust Account Strikes Due to Unfair Content Moderation Dear TikTok Support Team, I am writing to express my deep disappointment and frustration regarding the recent strikes against my account. Despite consistently sharing positive and appropriate content, my account has been subjected to warnings and strikes. It's disheartening to experience such treatment when my videos comply with community guidelines and aim to spread positivity. It seems unjust and perplexing to f",2
Please fix login with twetter!!! ...When i re install app I can't access my account. Even making multiple attempts is useless!!!,4
"Amendment 1 violations and it takes up so much space on your phone to make videos, they should provide content creators with 2 phones...",2
"Lots of good content, just don't like the scam ones for free cash giveaways and such. Nothing is free.",2
best platform for all people.enjoy yourself TikTok account For you,4
Keeping show me content I don't like,2
Tiktok team viral my all video likes views issue and unfreeze my tiktok account thank you,2
"Hi dear TikTok I,m a old using on TikTok application plzz cheak my old official account and viral all video on TikTok for you page plzz @dawoodkarachi0",4
Please make my account viral. I have uploaded many videos but till now it has not helped,2
Viral my account plz keshabmahara500 my tiktok account,2
Hello dear tiktok team tiktok app is my favorite app si man so love me whatever video is made hum fe views don't come nor faro page p chal hai man tiktok fe own face video data hun and slomo cap Cut+Filter+Trending Song+Views are increasing my account is increasing 6M views please help me and 56M flowers on my tiktok account Faizii_100 on tiktok my song is not showing in favorite list,2
They take my account i don't liked this app,4
Hi dear Tiktok i am a old using on Tiktok application please check my old official Account... And viral all video on Tiktok Foryou page,2
Hi dear TikTok I am a new user on TikTok application please check my account namely citrinemind5 And vital all my vedios on for you page please.,4
My account was banned I couldn't make new account,4
"I love this app, and its the only app that i feel like i really have a purpose on cuz people like my content",3
The terms of service are not available and that is a violation of my privacy since I wouldn't know how they use my info.,2
"Dear TikTok Team, I am writing to request that you please help me viral my new TikTok account, @[wajisticx]. I have been creating high-quality, engaging videos for a few weeks now, but I am struggling to gain traction. I believe that my videos have the potential to go viral, and I would be so grateful for your help in making that happen.",2
Good app but my talent is singing if I upload my song whether indian or any song video Tik tok banned it. I need to prove my talent plz don't spol my own creation it's copy right giving tribute,2
Seaport my account please follow and like,1
This is the best app for getting all kinds of content and for also reaching out to the widest audience worldwide. Most addictive and a potent to for achieving success.,4
Hi dear TikTok I'm a new using on TTok application please Cheak my new official Account And viral all Video on TikTok Foryou Page,2
I wish the feature where you can share a tiktok video to Pinterest works all the time. Sometimes you just get a white screen with a loading symbol and no picture comes up to click and save.,2
Account for you,4
Good app my account no views,2
Hi dear tiktok team my (@ubaidullahkhan3292) account name Please unfreeze my account,4
Hi dear Tik Tok my new account please support me for you page my video,2
I like this app but it drains data quickly,3
Perfect short form videos that are entertaining and anyone can make them I've got an account where I post videos and I would rate it six stars if I could this app is for anyone to enjoy in their spare time,3
Absolutely love it. Been on it for about a year or so after my first account got deleted.,2
Very bad service in Saudi,2
Hi dear tiktok team my ( amarjanbaloch325 ) account name please unfreeze my account,4
Please I request 🙏 My account trading and for you video please follow and like share,4
Complain tiktok team my account unfreeze me TikTok deled thank,4
"Please tiktok help me, im 13 years old but i got banned with no warning. My user was jelly._.bean12 please give me my account back because i have a lot of videos that mean a lit to me",2
Please need support my account unfeez please help me my account,2
I whut to the gero my account #tik tuk,2
Dear: tiktok I am having some difficulty in following people when I try to it says you are following too fast. It has been going on for weeks even though I have been doing it slow please fix this problem By purna Kumari sunar,4
"as i am a content creator , after peoples reported my videos and my videos become not eligible for the for you feed and i ask for appeal then tiktok approve the appeal and my video is back , they keep limiting the video from views which is very bad",4
"Don't view and follower on my video tiktok team my account viral please, 😭😭😭😭😭😭😭😭😭😭😭😭😭@ جٹ لالیاں آلاplease viral my tiktok account please give me best response My video long time for you feed view 😭😭😭 viral my account 😭solved my problem my video no for you feed My account on violation please solved my problem My open play list please 😭😭😭😭 viral my account my account favorite song list open😭😭😭😭😭😭😭😭",2
Tik tok is the best Tik tok team my video share for you,2
My Tiktok Account Long Time Not Boost Please Tiktok Comunity My Account Bosted For Good Exprience Thank You,4
"Good community, but definitely bias and withholding of certain content.",4
Nice but busy in to account,4
Super apps for tiktok account and it is still available story,4
"I have been trying to upload a video for so long, it kept on delaying most times I to click it will kick me off that I will have to refresh the app. I find it quite frustrating though, I hope you guys will get it right this time around.",4
Exceptional Service,2
This is very bad app This app provide way to harassment and sexual.,3
Dear TikTok Team I am new account plz follow like mere account new plz mera account viral,3
Tik Tok Can Banned my Old account I hate & dislike this app,3
Fun app to watch content on,4
They don't share videos to go viral,2
Computer generated content and comments pose as people to invite discourse,3
This app alll time my account bended 😏,2
"This app reminds me why I hate humanity. Sure, there are some good videos on there, but the algorithm wants you to stay so badly that it will recommend videos meant to spark anger or resentment. It knows you will watch, blood boiling, fists clenched. Even though you don't like the video, you stayed, so it will show you more to enrage you just to keep you engaged. Some of the ""content creators"" are just too vile to exist on this planet without sinking others into depression. I'm done.",4
Viral my account ❤️,2
